City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
560,Madang,PG,broken clouds,83.3,-5.2246,145.7966,Comfort Inn Hotel
575,Dwarka,IN,clear sky,84.94,22.2394,68.9678,Hotel Narayan Avezika Comfort
578,Rey Bouba,CM,overcast clouds,89.96,8.6724,14.1786,
587,Esna,EG,few clouds,87.8,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
590,Bandipur,NP,light rain,80.73,27.9333,84.4167,Bandipur Guest House
592,Cayenne,GF,light rain,78.01,4.9333,-52.3333,Hôtel Le Dronmi
600,Mareeba,AU,scattered clouds,80.6,-17.0,145.4333,Trinity Plains Tourist Park
601,Manokwari,ID,overcast clouds,82.47,-0.8667,134.0833,Swiss Belhotel Manokwari
606,Honiara,SB,overcast clouds,81.36,-9.4333,159.95,Heritage Park Hotel
614,Sarai Naurang,PK,clear sky,78.12,32.8259,70.7814,Taj Mahal hotel
615,Ca Mau,VN,overcast clouds,89.67,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
622,Kloulklubed,PW,broken clouds,86.0,7.0419,134.2556,Storyboard Beach Resort
623,Bubaque,GW,overcast clouds,78.12,11.2833,-15.8333,"Casa Dora, Bubaque"
629,Monrovia,LR,light rain,77.0,6.3005,-10.7969,Sunset Inn
631,Beloha,MG,clear sky,78.33,-25.1667,45.05,
633,San Policarpo,PH,overcast clouds,87.03,12.1791,125.5072,JM Lodge
637,Turan,VN,few clouds,89.6,16.0678,108.2208,Sun River Hotel
639,Chinchani,IN,overcast clouds,86.07,19.8667,72.7,Vasantshrushti Farm
641,Moussoro,TD,scattered clouds,88.83,13.6408,16.4901,Pharmacie alnadja Moussoro
645,Kaiyuan,CN,clear sky,86.59,23.6977,103.3037,Dongqi Hotel
649,Pouebo,NC,broken clouds,76.42,-20.4,164.5667,Rural Family Home De Pouébo
650,Bara,NG,overcast clouds,86.67,10.3744,10.7288,
654,West Bay,KY,scattered clouds,80.01,19.3667,-81.4167,Calypso Cove
656,Bridgetown,BB,few clouds,77.58,13.1,-59.6167,Hilton Barbados Resort
661,Dawei,MM,scattered clouds,88.43,14.0833,98.2,Hotel Dawei
662,Port-Gentil,GA,light rain,78.8,-0.7193,8.7815,Fengshui Residence
663,Buala,SB,moderate rain,82.17,-8.145,159.5921,Maringe Lagoon Lodge
674,Hobyo,SO,broken clouds,86.49,5.3505,48.5268,Halane Hotel and Restaurent
680,Bambanglipuro,ID,clear sky,85.01,-7.95,110.2833,Puri Brata
683,Banda Aceh,ID,overcast clouds,86.58,5.5577,95.3222,Sulthan Hotel International
