City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
205,Namibe,-15.1961,12.1522,82.65,few clouds,71,20,4.76,AO,2021-04-21 06:39:04
206,Znamenskoye,57.1281,73.8282,32.76,overcast clouds,62,100,11.21,RU,2021-04-21 06:39:04
207,Clyde River,70.4692,-68.5914,-2.2,broken clouds,92,75,3.44,CA,2021-04-21 06:39:04
208,Lavrentiya,65.5833,-171.0,23.45,overcast clouds,69,100,6.67,RU,2021-04-21 06:39:05
209,Alta Floresta,-9.8756,-56.0861,68.83,overcast clouds,98,98,2.13,BR,2021-04-21 06:39:05
210,Esso,55.9333,158.7,32.47,overcast clouds,94,100,7.56,RU,2021-04-21 06:39:06
211,Dukat,62.55,155.55,26.8,overcast clouds,86,100,8.55,RU,2021-04-21 06:39:06
212,Mabaruma,8.2,-59.7833,70.11,broken clouds,96,52,1.72,GY,2021-04-21 06:39:06
213,Bardiyah,31.7561,25.0865,61.75,clear sky,63,4,8.05,LY,2021-04-21 06:39:07
214,Jiayuguan,39.8167,98.3,71.67,overcast clouds,10,91,10.65,CN,2021-04-21 06:39:07
215,Komsomolskiy,40.4272,71.7189,60.8,scattered clouds,59,40,6.91,UZ,2021-04-21 06:39:07
216,Bengkulu,-3.8004,102.2655,83.7,overcast clouds,75,100,7.23,ID,2021-04-21 06:39:08
217,Bijie,27.3125,105.2942,71.26,scattered clouds,52,46,2.57,CN,2021-04-21 06:39:08
218,Maneadero,31.7167,-116.5667,57.0,broken clouds,79,68,5.01,MX,2021-04-21 06:39:09
219,Pochutla,15.7432,-96.4661,75.0,overcast clouds,80,100,1.25,MX,2021-04-21 06:39:09
220,Tabuk,17.4189,121.4443,83.08,overcast clouds,66,100,14.41,PH,2021-04-21 06:39:10
221,Phan Thiet,10.9333,108.1,87.42,broken clouds,66,63,10.2,VN,2021-04-21 06:37:56
222,Pisco,-13.7,-76.2167,66.2,smoke,82,4,4.61,PE,2021-04-21 06:39:10
223,Barrow,71.2906,-156.7887,17.6,overcast clouds,79,90,6.91,US,2021-04-21 06:39:10
224,Puerto Leguizamo,-0.1934,-74.7819,69.78,overcast clouds,98,98,1.34,CO,2021-04-21 06:39:11
